"Sequence ID (GISAID EPI-ISL)"	"Authors"	"Originating laboratory"	"Submitting laboratory"
"EPI_ISL_2527676"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, Harry Gao, Mickey Li, John Gao, Joseph Fierro, Benafsh Sapra, Becky Tsai, Yan Meng, Doreen Ng, James Xie, Clinton R. Paden, Duncan MacCannell"	"Fulgent Genetics"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_2544760"	"Ying Tao, Yan Li, Jing Zhang, Anna Kelleher, Brian Lynch, Krista Queen, Anna Uehara, Peter Cook, Han Jia Justin Ng, Rachel Marine, Clinton R. Paden, Dhwani Batra, Haibin Wang, Tara Coalter, Jasmine Padilla, Morgan Davis, Mili Sheth, Sarah Nobles,  Mark Burroughs, Justin Lee, Adam Retchless, Suxiang Tong"	"PA Department of Health, Bureau of Laboratories"	"Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"
"EPI_ISL_2597979"	"Stefan Green, Kevin Kunstman, Max Kolton, Marieta Hyde, Laura Furtado, Felix Araujo Perez, Ah-Young Sung, Sharon Welbel"	"John H Stroger Jr Hospital of Cook County"	"RIPHL at Rush University Medical Center"
"EPI_ISL_2628775"	"SEARCH Alliance San Diego with Ashleigh Murphy, Jovan Shephard, Brett Austin"	"San Diego County Public Health Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2628782"	"SEARCH Alliance San Diego with Ashleigh Murphy, Jovan Shephard, Brett Austin"	"San Diego County Public Health Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2628808"	"SEARCH Alliance San Diego with Ashleigh Murphy, Jovan Shephard, Brett Austin"	"San Diego County Public Health Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2628866"	"SEARCH Alliance San Diego with Ashleigh Murphy, Jovan Shephard, Brett Austin"	"San Diego County Public Health Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2628874"	"SEARCH Alliance San Diego with Ashleigh Murphy, Jovan Shephard, Brett Austin"	"San Diego County Public Health Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2652511"	"Alexandra Lorentz, Jacob Garfin, Matt Plumb, and Xiong Wang"	"M Health Fairview"	"Minnesota Department of Health, Public Health Laboratory"
"EPI_ISL_2688566"	"Giandhari Jennifer, Pillay Sureshnee, Yajna Ramphal, Naidoo Yeshnee, Tshabuila Derek,Tegally Houriiyah, San James, Wilkinson Eduan, de Oliveira Tulio"	"National Health Laboratory Service, South Africa"	"KRISP, KZn Research Innovation and Sequencing Platform"
"EPI_ISL_2688567"	"Giandhari Jennifer, Pillay Sureshnee, Yajna Ramphal, Naidoo Yeshnee, Tshabuila Derek,Tegally Houriiyah, San James, Wilkinson Eduan, de Oliveira Tulio"	"National Health Laboratory Service, South Africa"	"KRISP, KZn Research Innovation and Sequencing Platform"
"EPI_ISL_2689795"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Chiapas"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2709691"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Nuevo Leon"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2709692"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Nuevo Leon"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2709695"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Nuevo Leon"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2709706"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Queretaro"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2709708"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Queretaro"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2709709"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Tabasco"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2709710"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Tabasco"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2709711"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Tabasco"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2709722"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Hidalgo"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2709728"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Nuevo Leon"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2709731"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Coahuila"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2727858"	"Alexandra Lorentz, Jacob Garfin, Matt Plumb, and Xiong Wang"	"M Health Fairview"	"Minnesota Department of Health, Public Health Laboratory"
"EPI_ISL_2758241"	"Stefan Green, Kevin Kunstman, Max Kolton, Marieta Hyde, Laura Furtado, Felix Araujo Perez, Ah-Young Sung, Sharon Welbel"	"John H Stroger Jr Hospital of Cook County"	"RIPHL at Rush University Medical Center"
"EPI_ISL_2783597"	"Mikhail Hanewich-Hollatz, J.Cesar Ignacio-Espinoza, Elias L. Salfati, Nabjot Sandhu, George Way, Zhiyi Xie, Eugenia Khorosheva, Sophia Quasem, Janet Chen, Vladimir Slepnev"	"Curative Labs"	"Curative Labs"
"EPI_ISL_2784182"	"Mikhail Hanewich-Hollatz, J.Cesar Ignacio-Espinoza, Elias L. Salfati, Nabjot Sandhu, George Way, Zhiyi Xie, Eugenia Khorosheva, Sophia Quasem, Janet Chen, Vladimir Slepnev"	"Curative Labs"	"Curative Labs"
"EPI_ISL_2800944"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Yucatan"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2800945"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Michoacan"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2835915"	"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Eduardo Becerril-Vargas, Víctor Hugo Borja-Aburto, Celia Boukadida, Cristóbal Cháidez-Quiróz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce,  Andreu Comas-García, Célida Duque Molina, Julissa Enciso-Ibarra, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo Garcia-Arias, Alejandra Garcia-Gasca, Bruno Gomez-Gil, Jean Pierre González, Irvin González-López, Concepción Grajales-Muñiz, Ricardo Grande, Rosa María Gutierrez Rios, Alejandra Hernández-Terán, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Daniel Lira Morales, Susana Lopez, Antonio Loza Román, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, José Arturo Martínez-Orozco, Célida Martínez- Rodríguez, Margarita Matías-Florentino, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, , Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Jorge Salas-Hernández, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Selene Zárate, Nelly Sélem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vázquez-Pérez."	"Centro de Investigación Biomédica del Noreste (CIBIN)"	"Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)"
"EPI_ISL_2835918"	"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Eduardo Becerril-Vargas, Víctor Hugo Borja-Aburto, Celia Boukadida, Cristóbal Cháidez-Quiróz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce,  Andreu Comas-García, Célida Duque Molina, Julissa Enciso-Ibarra, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo Garcia-Arias, Alejandra Garcia-Gasca, Bruno Gomez-Gil, Jean Pierre González, Irvin González-López, Concepción Grajales-Muñiz, Ricardo Grande, Rosa María Gutierrez Rios, Alejandra Hernández-Terán, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Daniel Lira Morales, Susana Lopez, Antonio Loza Román, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, José Arturo Martínez-Orozco, Célida Martínez- Rodríguez, Margarita Matías-Florentino, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, , Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Jorge Salas-Hernández, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Selene Zárate, Nelly Sélem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vázquez-Pérez."	"Centro de Investigación Biomédica del Noreste (CIBIN)"	"Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)"
"EPI_ISL_2835919"	"Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Ávila-Ríos, Eduardo Becerril-Vargas, Víctor Hugo Borja-Aburto, Celia Boukadida, Cristóbal Cháidez-Quiróz, Juan Bautista Chale-Dzul, Ricardo Ciria Merce,  Andreu Comas-García, Célida Duque Molina, Julissa Enciso-Ibarra, José Antonio Enciso-Moreno, Gloria Elena Espinosa-Ayala, Fernando Fontove-Herrera, Daniel Fregoso-Rueda, Victor Eduardo Garcia-Arias, Alejandra Garcia-Gasca, Bruno Gomez-Gil, Jean Pierre González, Irvin González-López, Concepción Grajales-Muñiz, Ricardo Grande, Rosa María Gutierrez Rios, Alejandra Hernández-Terán, Alfredo Herrera-Estrella, Carla Ivón Herrera-Najera, Pavel Isa, Daniel Lira Morales, Susana Lopez, Antonio Loza Román, Brenda Irasema Maldonado-Meza, Bernardo Martínez-Miguel, José Arturo Martínez-Orozco, Célida Martínez- Rodríguez, Margarita Matías-Florentino, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Hector Montoya-Fuentes, , Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Alicia Ocaña-Mondragón, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juárez, Marissa Perez-Garcia, Francisco Pulido, Helen Haydee Fernanda Ramírez-Plascencia, Jorge Salas-Hernández, Angel Gustavo Salas-Lais, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, María Guadalupe Santiago-Mauricio, Selene Zárate, Nelly Sélem-Mojica, Blanca Taboada, Gloria Vazquez, Joel Armando Vázquez-Pérez."	"Centro de Investigación Biomédica del Noreste (CIBIN)"	"Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)"
